Coin_id,Grade,Description,Qty,Certification_no,Ownership,Grading_Serv,Type
amccs3,**,2023   AMAC Challenge Coin Set   **,60105,,104,,
SAE025,BU,2025 $1 Silver American Eagle BU,5020,,108,Other,B
NRA025,BU,2025 1oz NRA Silver Round BU,5003,,108,Other,B
AMCC21,**,2021 AMAC Challenge Coin **,2918,,104,Other,
TFCSB1,**,1oz Trump Fight Colorized Silver Flag Bar **,2407,,108,Other,B
DWCC21,**,2021 AMAC Dan Weber Challenge Coin **,2384,,104,Other,
AAHC23,**,2023 Appeal To Heaven AMAC Challenge Coin **,2096,,104,Other,
DTGNT1,**,Trump Gold Presidential Note **,1988,,108,Other,
ccbig5,**,2018 Big 5 Challenge Coin **,1878,,104,Other,B
1fcc23,**,2023 1st Freedom Challenge Coin **,1762,,104,Other,
MPST21,70,2021  Morgan & Peace Dollar Set MS70,1545,,104,,
SAE024,BU,2024 $1 Silver American Eagle BU,1438,,104,Other,B
SEKO25,70,2025 $1 Silver American Eagle OLeary Facsimile Sig MS70,1381,,108,NGC,B
DTFSR1,BU,1oz Donald Trump Fight Silver Round BU,1340,,104,Other,B
SFTF01,**,1oz Stand for the Flag Silver Bar **,1298,,108,Other,B
MGNO64,64,1883-1885 $1 Morgan Silver Dollar O-Mint Set 64,1235,,104,,
GEA014,**,Gold Expert Advantage **,1208,,104,,
ahcc23,**,2023 American Hunter Challenge Coin **,1029,,104,Other,
HHNY24,BU,2024 1oz Happy Holidays/NewYear Silver Round BU,999,,104,Other,B
DWCC22,**,2022 AMAC Dan Weber Challenge Coin **,997,,104,Other,
SVRP20,**,2020 Silver Report **,958,,104,,
AMCC15,**,2022 AMAC 15th Anniversary Challenge Coin **,916,,104,Other,
BULLT1,**,1oz Silver Bullet **,901,,104,Other,B
SRDT24,BU,2024 1oz Donald Trump Silver Round BU,858,,104,Other,B
JFK001,**,JFK Photo And Letter **,833,,104,,
ASDS00,BU,American Silver Dollar Set BU,805,,104,,B
NRA024,BU,2024 1oz NRA Silver Round BU,773,,104,Other,B
SAEA23,70,2023 $1 Silver Eagle Red Core AMAC Label MS70,705,,104,Other,B
BULLT2,**,2 oz Silver Bullet **,650,,104,Other,B
AMCC22,**,2022 AMAC Challenge Coin **,639,,104,Other,
TIII90,**,T III $20 Book 90-CC Cover **,623,,104,,B
ABRF24,BU,2024 1oz AMAC Betsy Ross Flag Round BU,608,,104,Other,B
HOHO24,BU,2024 1oz Santa Claus Silver Round BU,559,,104,Other,B
MPST21,69,2021  Morgan & Peace Dollar Set MS69,537,,104,,
nrac25,**,2025 NRA Challenge Coin **,500,,108,Other,
MFART1,**,Designer Of The GAE Reverse Article **,476,,104,,
SAEGR1,69,1986-2017 $1 Green Silver American Eagle Set MS69,441,,104,,
005070,VG,MERCURY 10C Mercury Dime VG,435,,104,Other,B
PMG023,**,Precious Metals Guide **,432,,104,,
JFKPD1,BU,2015 $1 JFK Presidential Dollar BU,428,,104,Other,B
IGWTA0,**,A Star Spangled Tribute to In God We Trust **,417,,104,,
MPDS21,70,2021 $1 Morgan/Peace Set NGC Adv. Rel. MS70,403,,104,,
SERD25,70,2025 $1 Silver Eagle CAC Graded Ron Drzewucki Sig 70,378,,108,CAC Grading,
ASKG25,BU,2025 1oz Silver Australian Kangaroo BU,329,,104,Other,B
SS8614,69,$1 SAE SERIES MS69,321,,104,,
SEPR21,69,2021 (P) $1 Silver American Eagle Red Core MS69,318,,104,Other,
SEPW21,69,2021 (P) $1 Silver American Eagle White Core MS69,305,,104,Other,
SEPB21,69,2021 (P ) $1 Silver American Eagle Blue Core MS69,304,,104,Other,
BBMS10,70,2014 $1 Baseball HOF 10 Coin Set Facsimile MS70,301,,104,,
MPRP23,70,2023-S $1 Morgan & Peace Dollar Rev PR Set CAC PR70,300,,104,,
AFSB01,**,1oz American Flag Silver Bar **,275,,104,Other,B
905313,70,2022-W $1 Silver American Eagle Burnished MS70,265,,104,Other,
IHPNY1,VG,1C Indian Head Penny Set VG,265,,104,,B
SNOW24,BU,2024 1oz Snowman Silver Round BU,260,,104,Other,B
SRDTC1,BU,1oz Texas Alamo Silver Round BU,252,,104,Other,
BRIT25,BU,2025 1oz Silver Britannia BU,244,,104,Other,B
BRIT24,BU,2024 1oz Silver Britannia BU,227,,104,Other,B
CSML25,BU,2025 1oz Silver Canadian Maple Leaf BU,203,,108,Other,B
000048,BU,1oz Silver Round  BU,202,,108,Other,B
DBDSR1,BU,1oz Drill Baby Drill Silver Round BU,200,,108,Other,B
amac02,bu,2019 1oz AMAC Silver Round 2 Coin Set BU,199,,104,,B
WPPK00,**,Wealth Privacy and Protection Kit **,197,,104,,
999991,**,Portfolio **,195,,104,,
346939,70,2024 $1 Silver American Eagle Ron Drzewucki Label MS70,191,,104,CAC Grading,
007296,64,1921 S$1 Morgan Dollar MORGAN MS64,187,,104,Other,
GAET25,BU,2025 $5 Gold American Eagle BU,185,,108,Other,B
GKDVD1,**,The Grassy Knoll DVD **,185,,104,,B
TIII82,**,T III $20 Book 82-S Cover **,179,,104,,B
DTMSB1,**,1oz Dont Tread On Me Silver Bar **,177,,104,Other,
003987,VG,BUFFALO 5C Buffalo Nickel VG,174,,104,Other,B
394668,BU,2008 D $1 John Quincy Adams First Day Of Issue BU,167,,104,,
SFSE23,BU,2023 $1 Silver American Eagle Forbes Signed BU,156,,104,Other,B
STEEL1,VG,1C Steel Penny VG,156,,104,Other,
GAET24,BU,2024 $5 Gold American Eagle BU,154,,104,Other,B
REA014,**,Reagan Print **,153,,108,,
FCAC20,**,Plastic CAC 20 Coin Box **,150,,108,Other,
394657,**,2008 D $1 James Monroe First Day Of Issue **,145,,104,,
ASKG24,BU,2024 1oz Silver Australian Kangaroo BU,145,,104,Other,B
USWN05,VG,5C War Nickel VG,137,,104,Other,
BUFSR1,BU,1oz Buffalo Silver Round BU,137,,104,Other,B
TIII15,**,T III $20 Book Signed **,128,,104,,B
REA014,**,Reagan Print **,128,,104,,
TIII23,**,2023 Type 3 Double Eagle Book **,125,,104,,
JKS014,69,2014 50C Kennedy Half Dollar Set 69,125,,104,,
969739,70,2024-S $1 Morgan Dollar Reverse Proof PR70,123,,108,NGC,
969742,70,2024-S $1 Peace Dollar Reverse Proof PR70,122,,108,NGC,
AFSB10,**,10 oz American Flag Silver Bar **,120,,104,Other,B
GBRT25,BU,2025 1/10oz Gold Britannia BU,118,,104,Other,B
AGTS19,**,SS Central America Book **,112,,104,Other,B
sftf18,**,2018  Stand for the Flag **,109,,104,Other,B
amacc1,**,2022   AMAC Challenge Coin Set   **,109,,104,,
MAPS24,70,2024 $1 Morgan & Peace Dollar Set MS70,107,,104,,
SAEC24,70,2024 $1 Silver American Eagle CAC Graded MS70,101,,104,CAC Grading,
ATB005,69,5 oz ATB SET MS69,101,,104,,
iaku00,**,Investors Advantage Gold Kit   **,100,,104,,B
006706,BU,1964 50C Kennedy Half Dollar BU,100,,104,,B
2020PP,**,20/20 Project Portfolio **,99,,104,,
LEGCY0,**,Legacy Kit **,99,,104,,
SSPN18,**,2018 SS Central America Gold Pinch **,99,,104,Other,
TIII77,**,T III $20 Book 77-S Cover **,98,,104,,B
RCCK00,**,Rare Coin Collectors Kit **,98,,104,,
